224,224,3,3,3,32,0,2
112,112,32,3,3,32,0,1
112,112,32,1,1,16,0,1
112,112,16,1,1,96,0,1
112,112,96,3,3,96,0,2
56,56,96,1,1,24,0,1
56,56,24,1,1,144,0,1
56,56,144,3,3,144,0,1
56,56,144,1,1,24,0,1
56,56,24,1,1,144,0,1
56,56,144,3,3,144,0,2
28,28,144,1,1,32,0,1
28,28,32,1,1,192,0,1
28,28,192,3,3,192,0,1
28,28,192,1,1,32,0,1
28,28,32,1,1,192,0,1
28,28,192,3,3,192,0,1
28,28,192,1,1,32,0,1
28,28,32,1,1,192,0,1
28,28,192,3,3,192,0,2
14,14,192,1,1,64,0,1
14,14,192,1,1,384,0,1
14,14,384,3,3,384,0,1
14,14,384,1,1,64,0,1
14,14,64,1,1,384,0,1
14,14,384,3,3,384,0,1
14,14,384,1,1,64,0,1
14,14,64,1,1,384,0,1
14,14,384,3,3,384,0,1
14,14,384,1,1,64,0,1
14,14,64,1,1,384,0,1
14,14,384,3,3,384,0,1
14,14,384,1,1,96,0,1
14,14,384,1,1,576,0,1
14,14,384,3,3,576,0,1
14,14,576,1,1,96,0,1
14,14,96,1,1,576,0,1
14,14,576,3,3,576,0,1
14,14,576,1,1,96,0,1
14,14,96,1,1,576,0,1
14,14,576,3,3,576,0,2
7,7,576,1,1,160,0,1
7,7,160,1,1,960,0,1
7,7,960,3,3,960,0,1
7,7,960,1,1,160,0,1
7,7,160,1,1,960,0,1
7,7,960,3,3,960,0,1
7,7,960,1,1,160,0,1
7,7,160,1,1,960,0,1
7,7,960,3,3,960,0,1
7,7,960,1,1,320,0,1
7,7,320,1,1,1280,0,1
1,1,1280,1,1,1000,0,1
