  -0.07362,   0.06718,   0.02823,   0.04022,  -0.00472,  -0.02269,  -0.11855,  -0.03767,  -0.12155,  -0.03767,  -0.16349,   0.04920,  -0.01371,   0.00726,  -0.00472,   0.07616,  -0.04067,   0.06718,  -0.01371,   0.04321,   0.05220,   0.01026,   0.01026,  -0.00472,  -0.02269,   0.07616,   0.00427,  -0.06463,   0.13008,  -0.12155,   0.02823,  -0.13053
   0.10612,   0.01625,   0.03123,  -0.00172,   0.07916,   0.07616,  -0.01970,   0.07916,  -0.06763,   0.05819,  -0.07062,   0.00427,  -0.07062,  -0.08260,   0.04621,   0.07317,   0.02823,   0.09414,   0.02823,  -0.01071,   0.02524,   0.05220,   0.22295,  -0.00771,   0.08814,  -0.16349,   0.00127,  -0.02569,   0.01026,   0.13008,   0.03123,  -0.04366
  -0.04666,   0.02224,   0.03722,  -0.06463,   0.07616,  -0.04666,  -0.07362,   0.10312,  -0.03767,  -0.00771,  -0.10956,  -0.02269,   0.11511,   0.11211,  -0.01970,  -0.06763,   0.02224,   0.01625,   0.07916,   0.04321,   0.12110,   0.00726,   0.03123,   0.07317,   0.21995,   0.09713,   0.08215,  -0.00472,  -0.05864,   0.01925,  -0.03168,  -0.15749
  -0.05265,  -0.06763,  -0.02868,   0.10911,  -0.04067,  -0.01071,  -0.00472,   0.14207,   0.05819,  -0.05265,   0.05819,  -0.06763,  -0.09459,   0.07616,   0.16004,  -0.01970,  -0.12155,  -0.06763,   0.19299,  -0.16049,   0.15105,   0.01925,   0.11211,  -0.04366,  -0.09758,   0.10312,   0.11810,   0.08215,  -0.01071,   0.04321,   0.00127,  -0.10956
   0.07017,  -0.03168,   0.00726,  -0.16049,   0.04321,  -0.00771,   0.03123,   0.04920,  -0.01071,  -0.09159,  -0.02269,   0.10911,  -0.03168,  -0.03467,  -0.02868,   0.07317,  -0.05265,  -0.12155,   0.09414,  -0.09758,   0.00726,   0.02823,   0.11211,   0.04621,  -0.00172,  -0.07961,  -0.00472,   0.01325,  -0.04965,   0.12709,  -0.12754,   0.02524
   0.18101,  -0.02868,  -0.12155,  -0.04666,   0.07017,   0.02524,   0.03722,  -0.02569,   0.00127,   0.17502,  -0.15749,  -0.01071,  -0.05564,  -0.02569,   0.12409,   0.11810,   0.02524,   0.20497,  -0.06164,  -0.03767,   0.07616,   0.07616,  -0.16049,  -0.05864,  -0.06763,  -0.06164,  -0.07661,   0.05220,  -0.10956,   0.00127,   0.01026,  -0.13353
  -0.09758,   0.13008,  -0.09758,  -0.01670,   0.04920,  -0.01670,   0.01026,  -0.01071,  -0.12155,  -0.07961,  -0.09459,  -0.08560,  -0.15150,   0.07916,  -0.09758,   0.08515,  -0.03467,   0.16903,   0.00127,   0.05819,   0.00427,  -0.03168,  -0.07961,   0.03422,   0.09114,   0.01625,  -0.02868,   0.11810,   0.10312,   0.03123,   0.08814,  -0.14551
   0.07916,   0.00127,  -0.15749,   0.02524,   0.02224,   0.05519,  -0.00472,  -0.03767,  -0.01670,  -0.01071,   0.13607,  -0.07961,   0.00427,  -0.12454,   0.04022,   0.00427,  -0.01670,   0.13008,   0.04920,  -0.05864,  -0.07062,   0.07317,   0.07317,   0.07916,   0.09114,   0.01625,   0.00427,   0.02823,   0.01325,   0.10312,   0.06718,  -0.11855
  -0.02269,   0.06118,   0.06418,  -0.01970,  -0.04366,  -0.07362,   0.13308,  -0.04965,   0.12110,   0.06418,  -0.01970,   0.06718,   0.10612,   0.08215,   0.01026,   0.00427,   0.14506,  -0.06463,  -0.03467,  -0.01371,  -0.05265,  -0.05564,  -0.09459,   0.02524,   0.01625,  -0.04666,  -0.07961,  -0.08560,  -0.05265,   0.00726,  -0.02868,   0.05220
   0.08515,  -0.08860,   0.11211,  -0.10657,  -0.10058,  -0.01670,  -0.11256,  -0.07362,  -0.00472,   0.11810,   0.13907,   0.13008,   0.10911,   0.03722,   0.10911,   0.02224,  -0.09459,   0.04920,   0.16303,   0.05519,   0.01925,   0.00427,  -0.05265,  -0.00472,  -0.00472,  -0.01970,  -0.01071,   0.15105,   0.11511,   0.13308,  -0.04366,  -0.07362
