  -0.00996,   0.01312,  -0.00996,   0.03621,  -0.01766,  -0.00227,  -0.00227,  -0.04844,   0.03621,  -0.00996,   0.02082,   0.01312,  -0.00227,  -0.02536,  -0.00227,  -0.00227
   0.05929,   0.01312,   0.55949,  -0.07153,  -0.34086,  -0.18696,   0.41328,   0.09008,  -0.02536,  -0.34086,   0.19781,  -0.17926,   0.50562,  -0.36395,  -0.41012,  -0.21774
  -0.06383,  -0.56403,   0.10547,  -0.13309,   0.26707,  -0.02536,  -0.11770,   0.21320,   0.33633,  -0.04844,  -0.12539,   0.30555,  -0.00996,  -0.04844,  -0.03305,  -0.22543
   0.16703,  -0.09461,   0.40558,   0.12855,  -0.03305,  -0.54094,  -0.37934,  -0.04075,  -0.16387,  -0.26391,  -0.12539,   0.15164,  -0.14079,   0.03621,   0.21320,  -0.15618
  -0.01766,   0.09777,  -0.24852,   0.45945,   0.17472,  -0.31008,  -0.44860,   0.46715,   0.10547,  -0.00996,  -0.07922,  -0.09461,   0.10547,   0.15933,  -0.50247,   0.30555
   0.69031,  -0.01766,  -0.21004,  -0.47169,  -0.61790,  -0.23313,   0.02082,   0.50562,   0.33633,   0.05929,  -0.04844,  -0.21774,  -0.39473,  -0.09461,   0.18242,  -0.01766
   0.22090,  -0.05614,  -0.27930,   0.05160,   0.06699,   0.41328,   0.04390,  -0.20235,  -0.11000,  -0.11000,  -0.17157,  -0.21774,  -0.41012,   0.15933,  -0.89493,  -0.44090
  -0.02536,   0.08238,   0.06699,   0.06699,  -0.28700,   0.44406,  -0.81798,   0.17472,  -0.12539,   0.08238,  -0.24083,   0.12855,   0.15933,  -0.45630,   0.05929,  -0.18696
  -0.04844,   0.10547,  -0.16387,  -0.27930,   0.16703,   0.42867,   0.18242,  -0.11000,   0.16703,   0.24398,   0.10547,  -0.63329,   0.32094,  -0.38704,  -0.01766,   0.35172
   0.00543,  -0.00227,  -0.00227,  -0.00227,  -0.00996,   0.00543,   0.00543,  -0.00227,   0.00543,  -0.00227,  -0.00227,  -0.00227,  -0.00227,  -0.00227,  -0.00227,  -0.00227
  -0.00227,   0.13625,  -0.03305,   0.02851,   0.14394,   0.04390,  -0.07153,   0.15933,  -0.00227,  -0.02536,   0.59797,   0.01312,  -0.08692,  -0.05614,   0.06699,  -0.21004
