   0.18053,   0.02251,   0.16297,  -0.03601,  -0.00090,  -0.00090,  -0.02431,  -0.34619,  -0.08283,   0.19223,   0.08689,   0.22735,   0.05178,  -0.01260,   0.05763,  -0.00675,  -0.05357,   0.07519,  -0.32278,  -0.00675,   0.01081,   0.03422,   0.18053,  -0.07112
   0.18638,   0.21564,   0.01666,   0.19223,  -0.09453,  -0.08283,  -0.12380,   0.09274,  -0.15306,  -0.01260,  -0.01845,  -0.27010,   0.03422,   0.19223,  -0.03601,  -0.00675,   0.11615,  -0.05942,   0.12200,  -0.06527,  -0.00675,  -0.09453,  -0.10039,  -0.11209
  -0.01845,   0.18638,  -0.18232,   0.09274,   0.00496,   0.16882,   0.06348,  -0.15306,   0.13371,  -0.24669,   0.05763,   0.03422,  -0.09453,   0.04592,   0.12786,  -0.06527,   0.04592,  -0.23499,   0.07519,  -0.12380,  -0.29937,  -0.08868,   0.06933,   0.16882
  -0.02431,  -0.42812,  -0.12380,   0.27417,   0.07519,   0.00496,  -0.14720,  -0.19402,  -0.49249,  -0.12965,   0.25076,   0.03422,  -0.24084,  -0.18817,   0.11030,   0.08689,   0.64872,  -0.19988,  -0.03016,  -0.01845,   0.21564,   0.40877,  -0.18817,   0.11615
   0.36780,   0.02837,   0.26246,  -0.21743,   0.01081,   0.09274,   0.08104,   0.05763,   0.21564,  -0.05357,   0.01666,   0.08104,  -0.10624,   0.08689,   0.18638,   0.04592,   0.01081,  -0.01845,   0.15712,   0.31513,  -0.09453,  -0.14135,   0.01666,   0.13956
  -0.02431,   0.15712,  -0.39300,   0.05178,   0.02251,   0.16297,  -0.22914,   0.18638,  -0.22329,   0.11030,  -0.19988,  -0.11209,   0.22735,  -0.02431,  -0.21158,  -0.18232,   0.03422,   0.05763,   0.05763,   0.06348,  -0.01260,  -0.05357,   0.01666,   0.21564
   0.20979,   0.08104,  -0.17647,  -0.10039,  -0.20573,   0.16882,   0.26831,   0.10445,   0.29757,  -0.12965,  -0.00090,  -0.22914,  -0.18232,  -0.34619,  -0.12965,   0.04592,   0.08689,   0.10445,  -0.08868,  -0.27010,  -0.00675,   0.13956,  -0.11209,   0.21564
  -0.25255,  -0.15891,   0.05763,  -0.06527,  -0.04186,  -0.18817,  -0.01260,   0.19223,   0.20979,  -0.00090,   0.04007,   0.09274,  -0.19988,   0.48485,  -0.12965,  -0.03601,   0.10445,   0.46144,   0.01666,   0.36195,  -0.04186,   0.18053,   0.04007,   0.08689
  -0.20573,   0.11615,   0.01081,  -0.15306,  -0.05942,  -0.32278,   0.09274,   0.35025,  -0.11794,  -0.36959,  -0.10624,  -0.25255,   0.04592,  -0.23499,   0.03422,   0.11030,  -0.04186,  -0.10039,   0.11030,   0.11030,   0.03422,   0.03422,  -0.21158,  -0.12965
   0.05178,  -0.05942,   0.13371,   0.07519,   0.01666,   0.10445,   0.05763,   0.06348,  -0.10624,   0.10445,  -0.05942,   0.35025,  -0.02431,   0.00496,   0.04592,  -0.10039,  -0.08868,   0.26246,  -0.04771,  -0.17647,   0.04007,  -0.00090,   0.01081,   0.08104
